epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,6355.1,0.95241,0.53415,1.04097,0.93749,0.82396,0.89893,0.70689,0.79984,0.45393,1.01146,0.0007724,0.0007724,0.0007724
126,6386.1,0.96698,0.54187,1.059,0.93131,0.83067,0.90045,0.71193,0.77952,0.44803,1.01061,0.0007625,0.0007625,0.0007625
127,6415.18,0.95422,0.53058,1.05474,0.9338,0.82549,0.89956,0.71303,0.76797,0.45219,1.00104,0.0007526,0.0007526,0.0007526
128,6463.37,0.95457,0.53743,1.04422,0.93119,0.82697,0.90103,0.71507,0.75981,0.4487,1.00375,0.0007427,0.0007427,0.0007427
129,6515.78,0.94688,0.52484,1.04119,0.93493,0.83088,0.90207,0.70476,0.81778,0.45601,1.0087,0.0007328,0.0007328,0.0007328
130,6543.3,0.90799,0.50657,1.03004,0.93603,0.82929,0.89894,0.72105,0.74664,0.43785,0.99275,0.0007229,0.0007229,0.0007229
131,6584.01,0.96408,0.53895,1.05398,0.93481,0.82593,0.89943,0.71304,0.78137,0.44259,0.99591,0.000713,0.000713,0.000713
132,6614.08,0.93239,0.52698,1.03891,0.93135,0.82533,0.89858,0.714,0.76013,0.44987,0.99798,0.0007031,0.0007031,0.0007031
133,6694.22,0.94195,0.52785,1.05216,0.92426,0.83252,0.89807,0.70304,0.80898,0.45814,1.00519,0.0006932,0.0006932,0.0006932
134,6749.04,0.92386,0.51895,1.03561,0.93817,0.82929,0.90291,0.69862,0.83568,0.45404,1.01375,0.0006833,0.0006833,0.0006833
135,6773.21,0.91622,0.51458,1.03429,0.94238,0.8279,0.90243,0.71814,0.75523,0.44417,0.99244,0.0006734,0.0006734,0.0006734
136,6801.72,0.94875,0.52763,1.04852,0.93989,0.8246,0.9016,0.69871,0.84041,0.45223,1.00626,0.0006635,0.0006635,0.0006635
137,6828.83,0.91596,0.51704,1.04288,0.94104,0.83692,0.9056,0.71806,0.77712,0.43414,0.9949,0.0006536,0.0006536,0.0006536
138,6892.56,0.92813,0.51235,1.03874,0.9476,0.82403,0.90161,0.70454,0.82258,0.4484,1.0065,0.0006437,0.0006437,0.0006437
139,6938.23,0.95806,0.52889,1.04519,0.93992,0.82628,0.89942,0.71618,0.76527,0.43297,0.99233,0.0006338,0.0006338,0.0006338
140,7045.09,0.94431,0.52055,1.04251,0.93109,0.82822,0.90197,0.72185,0.74927,0.44061,0.99319,0.0006239,0.0006239,0.0006239
